R1C1,R1C2,R1C3,R1C4,R2C1,R2C2,R2C3,R2C4,R3C1,R3C2,R3C3,R3C4,R4C1,R4C2,R4C3,R4C4,MOVE
0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,2
2,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0
2,0,4,0,4,0,0,2,0,0,0,0,0,0,0,0,3
0,0,2,4,0,0,4,2,0,0,0,2,0,0,0,0,2
2,4,0,0,4,2,0,0,2,0,0,2,0,0,0,0,3
0,0,2,4,0,0,4,2,0,0,0,4,0,0,2,0,3
0,0,2,4,2,0,4,2,0,0,0,4,0,0,0,2,1
0,0,0,4,0,0,0,2,0,2,2,4,2,0,4,2,0
2,2,2,4,0,0,4,2,0,0,2,4,0,0,0,2,1
0,0,0,4,0,2,2,2,0,0,4,4,2,2,2,2,1
0,0,0,4,2,0,2,2,0,0,4,4,2,4,2,2,0
4,4,2,4,0,0,4,2,0,0,2,4,2,0,0,2,1
0,0,0,4,0,0,2,2,4,2,4,4,2,4,2,2,0
4,2,2,4,2,4,4,2,0,0,2,4,0,2,0,2,0
4,2,2,4,2,4,4,2,0,2,2,4,0,0,2,2,1
2,0,0,4,0,2,2,2,4,4,4,4,2,2,4,2,1
0,0,2,4,2,2,0,2,4,4,2,4,2,2,8,2,1
0,0,0,4,2,2,2,2,4,4,4,4,2,2,8,2,0
2,2,2,4,4,4,4,2,2,2,8,4,0,0,2,2,1
0,4,2,4,2,2,4,2,4,4,8,4,2,2,2,2,0
2,4,2,4,4,2,4,2,2,4,8,4,2,2,2,2,3
2,4,2,4,4,2,4,2,2,4,8,4,0,2,4,4,2
2,4,2,4,4,2,4,2,2,4,8,4,2,8,2,0,0
2,4,2,4,4,2,4,2,4,4,8,4,2,8,2,0,0
2,4,2,4,8,2,4,2,2,4,8,4,2,8,2,0,0
2,4,2,4,8,2,4,2,4,4,8,4,2,8,2,0,2
2,4,2,4,8,2,4,2,8,8,4,0,2,8,2,2,2
2,4,2,4,8,2,4,2,16,4,2,0,2,8,4,0,1
2,4,2,0,8,2,4,2,16,4,2,4,2,8,4,2,3
2,2,4,2,8,2,4,2,16,4,2,4,2,8,4,2,2
4,4,2,4,8,2,4,2,16,4,2,4,2,8,4,2,2
8,2,4,2,8,2,4,2,16,4,2,4,2,8,4,2,0
16,4,8,4,16,4,2,4,2,8,4,2,0,2,0,0,0
32,8,8,8,2,8,2,2,2,2,4,0,0,0,0,0,0
32,16,8,8,4,2,2,2,0,0,4,0,0,0,0,2,0
32,16,8,8,4,2,2,4,0,0,4,0,0,2,0,0,2
32,16,16,0,4,4,4,0,4,0,0,0,2,2,0,0,2
32,32,0,0,8,4,0,2,4,0,0,0,4,0,0,0,2
64,0,0,2,8,4,2,0,4,0,0,0,4,0,0,0,2
64,2,2,0,8,4,2,0,4,0,0,0,4,0,0,0,2
